date,fc,fc_lower,fc_upper,yy,k,chosen_param,date_forecast
2023-10-01,77118.6231,77118.6231,77118.6231,price,Patricia Manor Place,"1, 0, 0",2023-10-01
2024-01-01,76826.7710372778,76635.25904283252,76951.64366006527,price,Patricia Manor Place,"1, 0, 0",2023-10-01
2024-04-01,76690.26500019548,76530.73654710328,76858.84012307828,price,Patricia Manor Place,"1, 0, 0",2023-10-01
2024-07-01,76698.14300179986,76567.39420182067,76920.17807658867,price,Patricia Manor Place,"1, 0, 0",2023-10-01
2024-10-01,76813.50051859076,76608.32738936286,77119.74541332337,price,Patricia Manor Place,"1, 0, 0",2023-10-01
2025-01-01,77031.93794120473,76877.09847143618,77426.43244053888,price,Patricia Manor Place,"1, 0, 0",2023-10-01
2025-04-01,77393.96205608366,77160.50840490934,77696.15238570928,price,Patricia Manor Place,"1, 0, 0",2023-10-01
2025-07-01,77785.53550570496,77546.80093840689,78114.06243674517,price,Patricia Manor Place,"1, 0, 0",2023-10-01
2025-10-01,78307.97337614697,78156.7877871433,78624.46153526471,price,Patricia Manor Place,"1, 0, 0",2023-10-01
2026-01-01,78822.51312042594,78653.00289414237,79228.91336319438,price,Patricia Manor Place,"1, 0, 0",2023-10-01
2026-04-01,79497.70621056437,79275.80195568033,79719.38595932443,price,Patricia Manor Place,"1, 0, 0",2023-10-01
2026-07-01,80199.35438457337,80007.42409829269,80446.42494069587,price,Patricia Manor Place,"1, 0, 0",2023-10-01
2026-10-01,80870.54417748126,80609.44913211623,81220.84946988466,price,Patricia Manor Place,"1, 0, 0",2023-10-01
2027-01-01,81589.00955498531,81320.45664161311,81970.696670903,price,Patricia Manor Place,"1, 0, 0",2023-10-01
2027-04-01,82304.26531235366,81976.34850679191,82721.73071138294,price,Patricia Manor Place,"1, 0, 0",2023-10-01
2027-07-01,83035.83563375712,82758.01501814797,83500.78113488924,price,Patricia Manor Place,"1, 0, 0",2023-10-01
2027-10-01,83815.42905366838,83648.51724150311,84274.57554209973,price,Patricia Manor Place,"1, 0, 0",2023-10-01
